Name,Code,Revenue
შპსივერია აგრო,202458599,555103
თენგო+,242272401,552356
ბელუქსი,205185459,549842
ივაკო,200171857,544996
ახმეტის მუნიციპალიტეტის კეთილმოწყობის სამსახური,224631646,543143
შპს აი-დი სოლუშენი,206028243,540000
ტაბა,205190808,535621
ვანმშენი,229660131,534776
შპს ნნნ,205092077,528837
შპს სადაზღვევო კომპანია არდი ჯგუფი,404858631,528264
აგროდეკორსერვისი,248384822,526612
მისტერ გრინი,205221730,526047
შპს იბერია ავტო,236098129,524600
სანდასტექმრეწვი,204424195,514393
ო და კ ბილდინგ კომპანი,205118745,512999
გოუ ელექტრონიქსი,202464485,512361
კვირაცხოველი,228884366,511329
ნევროლოგიისა და ნეიროფსიქოლოგიის ინსტიტუტი,204472720,509320
მირკო,204996772,502590
შ.პ.ს.ტაო,238732591,497699
საქენერგორემონტი,236037962,496009
გზის მშენებელი,233643956,495905
ატლანტა,243867062,495499
კეთილმოწყობა,233113341,488607
ბავშვთა ნევროლოგიისა და ნეირორეაბილიტაციის სამკურნალო-საგანმანათლებლო ცენტრი,202056372,487776
სპეცენერგორემონტი,202198317,487400
გელანია,205288730,482631
ალგომე,445396312,479789
შპს მეგა მობი,406039807,477902
შ.პ.ს. ნაბო,200217595,477796
ნილე-ჯგუფი,245619996,472860
ზაუბერ აუტო,404864553,466394
სსსტანდარტ დაზღვევა საქართველო,204540274,465639
სტილექსი,205261893,464304
შატილი 21,245627825,462769
შ.პ.ს. მითანა,200233498,461040
შპს ვირშელი,412688499,447368
შპს  VENUS,404940739,446430
ახალი ქსელები,211326732,446174
სამშენებლო კომპანია ავტობანი,202307743,442410
ლასკარ-იმპექსი,205232648,442264
ჯორჯიან კომპანი,441993032,441335
ბიარტი +,401959252,439516
დევეპლიუსი,225390216,439295
შ.პ.ს. მანგლისი 2007,230869370,436800
მშენსერვისი,404898072,436180
green energi,426518903,433841
შარმ ტრეიდინგი,211397004,432938
დელტამედ ჯორჯია,401967742,429430
ჯეოლენდი,204447394,425951
