Source,Target,Type,Id,Label,Weight
1729,1729,Undirected,10500,,3
7477,1729,Undirected,10501,,1
1881,1730,Undirected,10502,,1
3233,1730,Undirected,10503,,1
3647,1730,Undirected,10504,,1
3651,1730,Undirected,10505,,3
5111,1730,Undirected,10506,,1
4900,1732,Undirected,10507,,2
6076,1733,Undirected,10508,,1
6851,1733,Undirected,10509,,1
6881,1733,Undirected,10510,,1
1734,1734,Undirected,10511,,2
1735,1734,Undirected,10512,,1
2161,1734,Undirected,10513,,1
4737,1734,Undirected,10514,,2
4755,1734,Undirected,10515,,2
1816,1736,Undirected,10516,,1
1817,1736,Undirected,10517,,1
3206,1736,Undirected,10518,,1
2315,1738,Undirected,10519,,1
3178,1738,Undirected,10520,,2
3777,1738,Undirected,10521,,1
3249,1739,Undirected,10522,,7
4552,1742,Undirected,10523,,1
4865,1746,Undirected,10524,,1
1748,1748,Undirected,10525,,1
1749,1748,Undirected,10526,,1
5560,1748,Undirected,10527,,7
6928,1748,Undirected,10528,,3
5640,1749,Undirected,10529,,1
6907,1749,Undirected,10530,,1
2263,1751,Undirected,10531,,2
3305,1751,Undirected,10532,,2
4806,1751,Undirected,10533,,1
1753,1753,Undirected,10534,,7
2472,1755,Undirected,10535,,1
6053,1755,Undirected,10536,,4
7312,1755,Undirected,10537,,1
7313,1755,Undirected,10538,,1
1764,1757,Undirected,10539,,4
7451,1757,Undirected,10540,,1
4258,1759,Undirected,10541,,1
4877,1760,Undirected,10542,,1
5070,1760,Undirected,10543,,2
6620,1761,Undirected,10544,,1
7396,1761,Undirected,10545,,1
5059,1763,Undirected,10546,,1
1764,1764,Undirected,10547,,1
6893,1764,Undirected,10548,,1
6880,1765,Undirected,10549,,1
1766,1766,Undirected,10550,,3
4225,1767,Undirected,10551,,2
7103,1767,Undirected,10552,,1
1768,1768,Undirected,10553,,1
3186,1769,Undirected,10554,,1
1771,1771,Undirected,10555,,1
2732,1771,Undirected,10556,,1
2832,1771,Undirected,10557,,1
3566,1771,Undirected,10558,,2
3692,1771,Undirected,10559,,1
3960,1771,Undirected,10560,,1
5100,1771,Undirected,10561,,2
5544,1771,Undirected,10562,,1
5603,1771,Undirected,10563,,1
5758,1771,Undirected,10564,,2
6043,1771,Undirected,10565,,1
6489,1771,Undirected,10566,,1
6490,1771,Undirected,10567,,1
6558,1771,Undirected,10568,,3
6932,1771,Undirected,10569,,2
6948,1771,Undirected,10570,,1
7200,1771,Undirected,10571,,1
1775,1775,Undirected,10572,,1
1776,1776,Undirected,10573,,1
1777,1776,Undirected,10574,,2
1778,1776,Undirected,10575,,1
4792,1776,Undirected,10576,,1
